site_code,n_nodes,node,matrix_col,parent_site,child_num,MPG,POP_NAME,TRT_POPID
FISTRP,1,FISTRP,91,LRU,1,Clearwater River,Lochsa River,CRLOC-s
SW1,1,SW1,92,GRA,19,Clearwater River,Selway River,CRSEL-s
SW2,1,SW2,93,SW1,1,Clearwater River,Selway River,CRSEL-s
JOSEPC,1,JOSEPC,94,JOC,1,Grande Ronde River,Joseph Creek,GRJOS-s
JOC,2,JOC_D,95,GRA,9,Grande Ronde River,Joseph Creek,GRJOS-s
JOC,2,JOC_U,96,GRA,9,Grande Ronde River,Joseph Creek,GRJOS-s
WEN,2,WEN_D,97,GRA,16,Grande Ronde River,Grande Ronde River lower mainstem tributaries,GRLMT-s
WEN,2,WEN_U,98,GRA,16,Grande Ronde River,Grande Ronde River lower mainstem tributaries,GRLMT-s
LOOH,1,LOOH,99,GRA,21,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
WR1,1,WR1,100,GRA,22,Grande Ronde River,Wallowa River,GRWAL-s
MR1,2,MR1_D,101,WR1,1,Grande Ronde River,Wallowa River,GRWAL-s
MR1,2,MR1_U,102,WR1,1,Grande Ronde River,Wallowa River,GRWAL-s
BCANF,1,BCANF,103,WR1,2,Grande Ronde River,Wallowa River,GRWAL-s
WR2,2,WR2_D,104,WR1,3,Grande Ronde River,Wallowa River,GRWAL-s
WR2,2,WR2_U,105,WR1,3,Grande Ronde River,Wallowa River,GRWAL-s
LOSTIW,1,LOSTIW,106,WR2,1,Grande Ronde River,Wallowa River,GRWAL-s
WALH,1,WALH,107,WR2,2,Grande Ronde River,Wallowa River,GRWAL-s
UGR,1,UGR,108,GRA,23,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CCU,2,CCU_D,109,UGR,1,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CCU,2,CCU_U,110,UGR,1,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CATHEW,1,CATHEW,111,CCW,1,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CCW,2,CCW_D,112,CCU,1,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CCW,2,CCW_U,113,CCU,1,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
UGS,3,UGS_D,114,UGR,2,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
UGS,3,UGS_M,115,UGR,2,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
