Event Site Name,nTags
BURNLC - Burnt Log Creek,2
CARMEC - Carmen Creek - tributary to Salmon River,2
CLWTRP - Clearwater Trap,2
COLTKC - Colt Kill Creek - Replaces WHITSC,2
HLM - Potlatch River near Helmer,2
HYDTRP - Hayden Creek Rotary Screw Trap,2
JUL - Potlatch River near Juliaetta,2
KNAPPC - Knapp Creek,2
LOP - Lostine River Acc. Pond,2
"MEADOC - Meadow Creek, Selway River",2
MOOS2C - Moose Creek (Selway River),2
ORB - Oasis Road Bridge,2
"PRO - Prosser Diversion Dam, Yakima River",2
RCJ - Rock Creek John Day Basin,2
RCL - Rock Creek (WA) at rkm 5,2
RCS - Rock Creek (WA) at rkm 14,2
"ROCK4C - Rock Creek, tributary to John Day River",2
RRJ - Rocky Reach Dam Juvenile,2
SALMF2 - Middle Fork Salmon River - Loon Creek to headwaters (km 73-170),2
TMF - Three Mile Falls Dam (Umatilla River),2
TUF - Tumwater Dam Adult Fishway,2
UMAR - Umatilla River,2
158 - Fifteenmile Ck at Eightmile Ck,1
BEARC - Bear Creek,1
"BOHANC - Bohannon Creek, Lemhi River Basin",1
BR2 - Bridge Creek Gable,1
"BRIDGC - Bridge Creek, John Day River Basin",1
"CEFLAF - Cedar Flats Acclimation Facility, Selway River",1
"CHARLC - Charley Creek, Asotin Creek watershed",1
CHEWUR - Chewuch River,1
COLR4 - Columbia River - Bonneville Dam to John Day Dam (km 234-347),1
COLR5 - Columbia River - John Day Dam to Snake River (km 347-522),1
COPPEC - Coppei Creek - tributary to Touchet River,1
COTNWC - Cottonwood Creek,1
CROOKC - Crooked Fork Creek,1
"DRY - Dryden Diversion Dam, Wenatchee River",1
FDD - Feed Diversion Dam,1
GRP - Grande Ronde Acc. Pond,1
"GUMBTC - Gumboot Creek, Imnaha River Basin",1
HERDC - Herd Creek,1
"HOGIS - Hog Island, Clearwater River",1
ICL - Lower Icicle Instream Array,1
IRRI - Irrigon Hatchery,1
JDARNF - North Fork John Day River,1
JPT - Juvenile Pond Touchet,1
LAPC - Lapwai Creek,1
LHC - Leavenworth NFH Coho Releases,1
LKR - Little Klickitat River Array,1
LLSPRC - Lemhi Little Springs Creek,1
LTP - Lower Twisp Acclimation Pond,1
LWN - Little Wenatchee River,1
"MEACHC - Meacham Creek, Umatilla River",1
MISSC - Mission Creek,1
MRT - Methow River at Twisp,1
NAL - Lower Nason Creek,1
NAU - Upper Nason Creek,1
OKL - Lower Okanogan Instream Array,1
PAPOOC - Papoose Creek,1
"PINE2C - Pine Creek, Potlatch River watershed",1
PRH - Priest Rapids Hatchery Outfall,1
PROH - Prosser Hatchery,1
RSH - Ringold Springs Hatch. Outfall,1
SELWY2 - Selway River - Moose Creek to headwaters (km 65-147),1
SGP - SF Gold Creek Pond Complex,1
"SHTIKC - Shitike Creek, Deschutes River Basin",1
SNAKE3 - Snake River - Clearwater River to Salmon River (km 224-303),1
SNJ - Snake River Trap,1
"SPALD - Spalding, Clearwater River",1
"SUMITC - Summit Creek, Secesh River Basin",1
"SWEETC - Sweetwater Creek, Lapwai Creek watershed",1
"TROU2C - Trout Creek, Deschutes River Watershed",1
"TUM - Tumwater Dam, Wenatchee River",1
UMATNF - North Fork Umatilla River,1
UWE - Upper Wenatchee River,1
WSH - Warm Springs Hatchery,1
"WTL - White River, Wenatchee Basin",1
YANKWF - West Fork Yankee Fork Salmon River,1
